Package	Version	Built
tidygraph	1.3.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-22 01:07:43 UTC; unix
tidyr	1.3.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:44:39 UTC; unix
tidytree	0.4.8	R 4.6.1; ; 2026-09-21 17:36:56 UTC; unix
tidyverse	2.0.0	R 4.6.1; ; 2026-09-13 20:22:14 UTC; unix
timechange	0.4.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:53:27 UTC; unix
tradeSeq	1.26.0	R 4.6.1; ; 2026-09-13 20:56:20 UTC; unix
TrajectoryUtils	1.20.0	R 4.6.1; ; 2026-09-13 20:53:51 UTC; unix
treeio	1.36.1	R 4.6.1; ; 2026-09-21 17:37:00 UTC; unix
tweenr	2.0.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-21 17:13:36 UTC; unix
tximport	1.40.0	R 4.6.1; ; 2026-09-21 14:58:04 UTC; unix
tzdb	0.5.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:29:05 UTC; unix
UCSC.utils	1.8.0	R 4.6.1; ; 2026-09-13 18:26:44 UTC; unix
urlchecker	2.0.0	R 4.6.1; ; 2026-09-13 19:24:13 UTC; unix
uuid	1.2-2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:53:24 UTC; unix
uwot	0.2.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:08:16 UTC; unix
vctrs	0.7.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:43:44 UTC; unix
vipor	0.4.7	R 4.6.1; ; 2026-09-13 18:09:31 UTC; unix
viridis	0.6.5	R 4.6.1; ; 2026-09-13 19:12:01 UTC; unix
vroom	1.7.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:02:49 UTC; unix
waldo	0.6.2	R 4.6.1; ; 2026-09-13 19:17:08 UTC; unix
webshot	0.5.5	R 4.6.1; ; 2026-09-13 19:14:55 UTC; unix
websocket	1.4.4	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:16:20 UTC; unix
whisker	0.4.1	R 4.6.1; ; 2026-09-13 19:11:19 UTC; unix
wk	0.9.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:11:08 UTC; unix
xgboost	3.2.1.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:32:25 UTC; unix
XML	3.99-0.24	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:20:24 UTC; unix
xml2	1.6.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:20:13 UTC; unix
xopen	1.0.1	R 4.6.1; ; 2026-09-13 19:11:20 UTC; unix
XVector	0.52.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:30:38 UTC; unix
yaml	2.3.12	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:19:22 UTC; unix
yulab.utils	0.2.5	R 4.6.1; ; 2026-09-21 17:15:01 UTC; unix
zip	3.0.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:27:43 UTC; unix
base	4.6.1	R 4.6.1; ; 2026-08-23 18:01:00 UTC; unix
boot	1.3-32	R 4.5.2; ; 'Thu, 04 Sep 2025 19:44:38 +0000'; unix
class	7.3-24	R 4.6.1; x86_64-pc-linux-gnu; 'Tue, 04 Aug 2026 19:26:36 +0000'; unix
cluster	2.1.8.2	R 4.5.2; x86_64-pc-linux-gnu; 'Sun, 08 Feb 2026 00:12:18 +0000'; unix
codetools	0.2-20	R 4.4.0; ; 'Sat, 27 Apr 2024 18:01:06 +0000'; unix
compiler	4.6.1	R 4.6.1; ; 2026-08-23 18:01:00 UTC; unix
datasets	4.6.1	R 4.6.1; ; 2026-08-23 18:01:00 UTC; unix
foreign	0.8-91	R 4.5.2; x86_64-pc-linux-gnu; 'Sun, 08 Feb 2026 00:13:22 +0000'; unix
graphics	4.6.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-08-23 18:01:00 UTC; unix
grDevices	4.6.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-08-23 18:01:00 UTC; unix
grid	4.6.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-08-23 18:01:00 UTC; unix
KernSmooth	2.23-27	R 4.6.1; x86_64-pc-linux-gnu; 'Mon, 17 Aug 2026 01:55:45 +0000'; unix
lattice	0.23-1	R 4.6.1; x86_64-pc-linux-gnu; 'Mon, 17 Aug 2026 01:55:56 +0000'; unix
MASS	7.3-66	R 4.6.1; x86_64-pc-linux-gnu; 'Fri, 17 Jul 2026 13:21:58 +0000'; unix
Matrix	1.7-6	R 4.6.1; x86_64-pc-linux-gnu; 'Tue, 28 Jul 2026 14:22:22 +0000'; unix
methods	4.6.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-08-23 18:01:00 UTC; unix
mgcv	1.9-4	R 4.5.2; x86_64-pc-linux-gnu; 'Fri, 28 Nov 2025 20:45:01 +0000'; unix
nlme	3.1-171	R 4.6.1; x86_64-pc-linux-gnu; 'Thu, 03 Sep 2026 23:29:58 +0000'; unix
nnet	7.3-21	R 4.6.1; x86_64-pc-linux-gnu; 'Tue, 04 Aug 2026 19:18:50 +0000'; unix
parallel	4.6.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-08-23 18:01:00 UTC; unix
rpart	4.1.27	R 4.5.3; x86_64-pc-linux-gnu; 'Wed, 08 Apr 2026 01:01:46 +0000'; unix
spatial	7.3-17	R 4.4.0; x86_64-pc-linux-gnu; 'Sat, 27 Apr 2024 18:04:14 +0000'; unix
splines	4.6.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-08-23 18:01:00 UTC; unix
stats	4.6.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-08-23 18:01:00 UTC; unix
stats4	4.6.1	R 4.6.1; ; 2026-08-23 18:01:00 UTC; unix
survival	3.8-12	R 4.6.1; x86_64-pc-linux-gnu; 'Sat, 12 Sep 2026 12:38:28 +0000'; unix
tcltk	4.6.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-08-23 18:01:00 UTC; unix
tools	4.6.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-08-23 18:01:00 UTC; unix
utils	4.6.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-08-23 18:01:00 UTC; unix
abind	1.4-8	R 4.3.3; ; 2026-08-22 20:43:47 UTC; unix
ash	1.0-15	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:45:02 UTC; unix
backports	1.5.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:43:51 UTC; unix
base64enc	0.1-6	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:08 UTC; unix
BH	1.90.0-1	R 4.3.3; ; 2026-08-22 20:45:27 UTC; unix
Biobase	2.60.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:56:42 UTC; unix
BiocGenerics	0.46.0	R 4.3.3; ; 2026-08-22 20:45:33 UTC; unix
BiocParallel	1.34.2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:07:04 UTC; unix
bitops	1.1-0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:45:13 UTC; unix
broom	1.0.13	R 4.3.3; ; 2026-08-22 21:09:55 UTC; unix
bslib	0.12.0	R 4.3.3; ; 2026-08-22 21:04:41 UTC; unix
cachem	1.1.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:54:03 UTC; unix
carData	3.0-6	R 4.3.3; ; 2026-08-22 20:43:49 UTC; unix
CDFt	1.2	R 4.3.3; ; 2026-08-22 20:53:34 UTC; unix
cli	3.6.6	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:39:42 UTC; unix
colorspace	2.1-3	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:56 UTC; unix
commonmark	2.0.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:53:15 UTC; unix
corpcor	1.6.10	R 4.3.3; ; 2026-08-22 20:53:39 UTC; unix
corrplot	0.95	R 4.3.3; ; 2026-08-22 20:43:53 UTC; unix
cowplot	1.2.0	R 4.3.3; ; 2026-08-22 21:08:11 UTC; unix
cpp11	0.5.5	R 4.3.3; ; 2026-08-22 20:40:18 UTC; unix
crayon	1.5.3	R 4.3.3; ; 2026-08-22 20:52:32 UTC; unix
crosstalk	1.2.2	R 4.3.3; ; 2026-08-22 21:04:22 UTC; unix
data.table	1.18.4	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:52:35 UTC; unix
DelayedArray	0.26.7	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:08:17 UTC; unix
deldir	2.0-4	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:45:54 UTC; unix
DEoptimR	1.2-1	R 4.3.3; ; 2026-08-22 20:45:31 UTC; unix
deSolve	1.42	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:45:36 UTC; unix
digest	0.6.39	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:02 UTC; unix
dplyr	1.2.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:09:16 UTC; unix
DT	0.34.0	R 4.3.3; ; 2026-08-22 21:09:52 UTC; unix
emdist	0.3-3	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:53:35 UTC; unix
EMDomics	2.30.0	R 4.3.3; ; 2026-08-22 21:09:13 UTC; unix
evaluate	1.0.5	R 4.3.3; ; 2026-08-22 20:42:24 UTC; unix
farver	2.1.2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:39:57 UTC; unix
fastmap	1.2.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:41:59 UTC; unix
fda	6.3.0	R 4.3.3; ; 2026-08-22 21:10:01 UTC; unix
fds	1.9	R 4.3.3; ; 2026-08-22 21:09:42 UTC; unix
FNN	1.1.4.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:44:51 UTC; unix
fontawesome	0.5.3	R 4.3.3; ; 2026-08-22 20:59:00 UTC; unix
forecast	9.0.2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:07:22 UTC; unix
formatR	1.14	R 4.3.3; ; 2026-08-22 20:45:15 UTC; unix
Formula	1.2-6	R 4.3.3; ; 2026-08-22 20:43:46 UTC; unix
fracdiff	1.5-4	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:53 UTC; unix
fs	2.1.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:12 UTC; unix
futile.logger	1.4.9	R 4.3.3; ; 2026-08-22 20:59:33 UTC; unix
futile.options	1.0.1	R 4.3.3; ; 2026-08-22 20:45:16 UTC; unix
generics	0.1.4	R 4.3.3; ; 2026-08-22 20:41:34 UTC; unix
ggplot2	4.0.3	R 4.3.3; ; 2026-08-22 21:04:46 UTC; unix
ggrepel	0.9.8	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:08:41 UTC; unix
ggridges	0.5.7	R 4.3.3; ; 2026-08-22 21:09:09 UTC; unix
ggsci	5.2.0	R 4.3.3; ; 2026-08-22 21:08:38 UTC; unix
ggsignif	0.6.4	R 4.3.3; ; 2026-08-22 21:08:35 UTC; unix
glue	1.8.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:39:39 UTC; unix
graph	1.78.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:56:51 UTC; unix
gridExtra	2.3.1	R 4.3.3; ; 2026-08-22 21:07:01 UTC; unix
gtable	0.3.6	R 4.3.3; ; 2026-08-22 20:59:16 UTC; unix
hdrcde	3.5.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:08:14 UTC; unix
hexbin	1.28.6	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:52:27 UTC; unix
highr	0.12	R 4.3.3; ; 2026-08-22 20:54:06 UTC; unix
htmltools	0.5.9	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:53:59 UTC; unix
htmlwidgets	1.6.4	R 4.3.3; ; 2026-08-22 21:09:32 UTC; unix
httpuv	1.6.17	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:06:10 UTC; unix
IDPmisc	1.1.21	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:52:23 UTC; unix
installr	0.23.4	R 4.3.3; ; 2026-08-22 21:16:40 UTC; unix
interp	1.1-6	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:59:35 UTC; unix
IRanges	2.34.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:01:13 UTC; unix
isoband	0.3.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:54:11 UTC; unix
jpeg	0.1-11	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:48:44 UTC; unix
jquerylib	0.1.4	R 4.3.3; ; 2026-08-22 20:58:59 UTC; unix
jsonlite	2.0.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:30 UTC; unix
kernlab	0.9-33	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:44:30 UTC; unix
knitr	1.51	R 4.3.3; ; 2026-08-22 20:59:02 UTC; unix
ks	1.15.3	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:59:22 UTC; unix
labeling	0.4.3	R 4.3.3; ; 2026-08-22 20:39:56 UTC; unix
lambda.r	1.2.4	R 4.3.3; ; 2026-08-22 20:56:09 UTC; unix
later	1.4.8	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:53:43 UTC; unix
latticeExtra	0.6-31	R 4.3.3; ; 2026-08-22 21:05:55 UTC; unix
lazyeval	0.2.3	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:54:08 UTC; unix
lifecycle	1.0.5	R 4.3.3; ; 2026-08-22 20:53:41 UTC; unix
lme4	2.0-6	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:05:03 UTC; unix
lmtest	0.9-40	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:54:37 UTC; unix
locfit	1.5-9.12	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:45:03 UTC; unix
magrittr	2.0.5	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:40:26 UTC; unix
MatrixGenerics	1.12.3	R 4.3.3; ; 2026-08-22 20:56:48 UTC; unix
MatrixModels	0.5-4	R 4.3.3; ; 2026-08-22 20:43:13 UTC; unix
matrixStats	1.5.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:52:12 UTC; unix
mclust	6.1.3	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:44:11 UTC; unix
memoise	2.0.1	R 4.3.3; ; 2026-08-22 20:58:57 UTC; unix
mime	0.13	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:18 UTC; unix
minqa	1.2.8	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:55:17 UTC; unix
mnormt	2.1.2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:53:36 UTC; unix
modelr	0.1.11	R 4.3.3; ; 2026-08-22 21:10:15 UTC; unix
multicool	1.0.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:55:40 UTC; unix
mvtnorm	1.4-2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:44:06 UTC; unix
nloptr	2.2.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:43:44 UTC; unix
numDeriv	2016.8-1.1	R 4.3.3; ; 2026-08-22 20:43:24 UTC; unix
otel	0.2.0	R 4.3.3; ; 2026-08-22 20:41:57 UTC; unix
pcaPP	2.0-5	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:55:51 UTC; unix
pillar	1.11.1	R 4.3.3; ; 2026-08-22 21:04:34 UTC; unix
pkgconfig	2.0.3	R 4.3.3; ; 2026-08-22 20:40:25 UTC; unix
png	0.1-9	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:48:45 UTC; unix
polynom	1.4-1	R 4.3.3; ; 2026-08-22 20:53:24 UTC; unix
pracma	2.4.6	R 4.3.3; ; 2026-08-22 20:43:55 UTC; unix
preprocessCore	1.62.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:53:27 UTC; unix
promises	1.5.0	R 4.3.3; ; 2026-08-22 20:59:08 UTC; unix
purrr	1.2.2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:05:51 UTC; unix
quantreg	6.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:55:28 UTC; unix
R6	2.6.1	R 4.3.3; ; 2026-08-22 20:39:54 UTC; unix
rainbow	3.8	R 4.3.3; ; 2026-08-22 21:09:26 UTC; unix
rappdirs	0.3.4	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:10 UTC; unix
RBGL	1.76.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:02:57 UTC; unix
rbibutils	2.4.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:43:02 UTC; unix
RColorBrewer	1.1-3	R 4.3.3; ; 2026-08-22 20:39:53 UTC; unix
Rcpp	1.1.2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:41:36 UTC; unix
RcppArmadillo	15.4.2-1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:54:21 UTC; unix
RcppEigen	0.3.4.0.2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:54:43 UTC; unix
RCurl	1.98-1.20	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:56:03 UTC; unix
Rdpack	2.6.6	R 4.3.3; ; 2026-08-22 20:55:25 UTC; unix
reformulas	0.4.4	R 4.3.3; ; 2026-08-22 20:59:18 UTC; unix
remotes	2.5.0	R 4.3.3; ; 2026-08-22 20:38:40 UTC; unix
Rgraphviz	2.44.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:02:51 UTC; unix
Rhdf5lib	1.22.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:46:00 UTC; unix
rlang	1.3.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:39:28 UTC; unix
rmarkdown	2.31	R 4.3.3; ; 2026-08-22 21:07:18 UTC; unix
robustbase	0.99-7	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:56:11 UTC; unix
RProtoBufLib	2.12.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:52:08 UTC; unix
rrcov	1.7-7	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:04:24 UTC; unix
S4Arrays	1.0.6	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:05:59 UTC; unix
S4Vectors	0.38.2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:56:22 UTC; unix
S7	0.2.2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:34 UTC; unix
sass	0.4.10	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:57:24 UTC; unix
scales	1.4.0	R 4.3.3; ; 2026-08-22 20:59:11 UTC; unix
shiny	1.14.0	R 4.3.3; ; 2026-08-22 21:08:53 UTC; unix
snow	0.4-4	R 4.3.3; ; 2026-08-22 20:45:29 UTC; unix
sourcetools	0.1.7-2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:53:12 UTC; unix
SparseM	1.84-2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:43:18 UTC; unix
stringi	1.8.9	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:40:32 UTC; unix
stringr	1.6.0	R 4.3.3; ; 2026-08-22 21:05:49 UTC; unix
tibble	3.3.1	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:07:14 UTC; unix
tidyr	1.3.2	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 21:09:34 UTC; unix
tidyselect	1.2.1	R 4.3.3; ; 2026-08-22 21:04:38 UTC; unix
timeDate	4052.112	R 4.3.3; ; 2026-08-22 20:42:46 UTC; unix
tinytex	0.60	R 4.3.3; ; 2026-08-22 20:54:04 UTC; unix
urca	1.3-4	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:41 UTC; unix
utf8	1.2.6	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:40:21 UTC; unix
vctrs	0.7.3	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:57:00 UTC; unix
viridisLite	0.4.3	R 4.3.3; ; 2026-08-22 20:39:51 UTC; unix
withr	3.0.3	R 4.3.3; ; 2026-08-22 20:40:19 UTC; unix
xfun	0.60	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:19 UTC; unix
XML	3.99-0.24	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:53:01 UTC; unix
xtable	1.8-8	R 4.3.3; ; 2026-08-22 20:53:10 UTC; unix
yaml	2.3.12	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:25 UTC; unix
zlibbioc	1.46.0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:52:31 UTC; unix
zoo	1.9-0	R 4.3.3; x86_64-pc-linux-gnu; 2026-08-22 20:42:37 UTC; unix
