Package	Version	Built
dtplyr	1.3.3	R 4.6.1; ; 2026-09-13 20:21:23 UTC; unix
dynamicTreeCut	1.63-1	R 4.6.1; ; 2026-09-13 19:35:19 UTC; unix
e1071	1.7-17	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:17:01 UTC; unix
edgeR	4.10.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:27:01 UTC; unix
ellipsis	0.3.3	R 4.6.1; ; 2026-09-13 19:12:12 UTC; unix
enrichit	0.2.4	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-21 17:15:42 UTC; unix
enrichplot	1.32.0	R 4.6.1; ; 2026-09-21 17:37:14 UTC; unix
fansi	1.0.7	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:10:15 UTC; unix
fastDummies	1.7.6	R 4.6.1; ; 2026-09-13 17:30:01 UTC; unix
fastICA	1.2-8	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:15:30 UTC; unix
filelock	1.0.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:09:27 UTC; unix
fitdistrplus	1.2-6	R 4.6.1; ; 2026-09-13 20:05:33 UTC; unix
fontBitstreamVera	0.1.1	R 4.6.1; ; 2026-09-21 17:13:31 UTC; unix
fontLiberation	0.1.0	R 4.6.1; ; 2026-09-21 17:13:32 UTC; unix
fontquiver	0.2.1	R 4.6.1; ; 2026-09-21 17:15:03 UTC; unix
forcats	1.0.1	R 4.6.1; ; 2026-09-13 19:15:00 UTC; unix
foreach	1.5.2	R 4.6.1; ; 2026-09-13 18:43:11 UTC; unix
future	1.75.0	R 4.6.1; ; 2026-09-13 17:27:12 UTC; unix
future.apply	1.20.2	R 4.6.1; ; 2026-09-13 17:29:31 UTC; unix
gargle	1.6.1	R 4.6.1; ; 2026-09-13 20:21:03 UTC; unix
gdtools	0.5.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-21 17:16:31 UTC; unix
GENIE3	1.34.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:33:14 UTC; unix
GenomeInfoDb	1.48.0	R 4.6.1; ; 2026-09-13 18:31:50 UTC; unix
GenomicAlignments	1.48.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:35:21 UTC; unix
GenomicRanges	1.64.0	R 4.6.1; ; 2026-09-13 18:31:36 UTC; unix
gert	2.4.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:24:18 UTC; unix
ggalluvial	0.12.6	R 4.6.1; ; 2026-09-13 19:14:45 UTC; unix
ggbeeswarm	0.7.3	R 4.6.1; ; 2026-09-13 20:31:56 UTC; unix
ggforce	0.5.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-21 17:15:09 UTC; unix
ggfun	0.2.1	R 4.6.1; ; 2026-09-21 17:15:38 UTC; unix
ggiraph	0.9.6	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-21 17:17:13 UTC; unix
ggnewscale	0.5.2	R 4.6.1; ; 2026-09-21 17:14:21 UTC; unix
